"Loc","Orden","St","Bottle","date","longitude","latitude","Depth","pressure","theta","salinity","oxygen","silicate","nitrate","phosphate","ct","at","year"
2006000002006,1,2,6,2006,-9.459,40.333,2.18,2.2,17.756,35.662,234.7,0.14504,0,0.0077,2031.19607625067,2355.9,2006.39452054795
2006000002005,2,2,5,2006,-9.459,40.333,44.83,45.2,13.727,35.911,254.5,1.4533,4.681,0.2761,2118.23382541316,2356,2006.39452054795
2006000002004,3,2,4,2006,-9.459,40.333,96.69,97.5,13.247,35.924,224.8,2.6891,7.2163,0.4092,2131.0344945654,2352.8,2006.39452054795
2006000002003,4,2,3,2006,-9.459,40.333,135.95,137.1,13.277,35.961,210,4.5786,7.9478,0.5291,2153.37468986046,2360,2006.39452054795
2006000003010,5,3,10,2006,-9.643,40.333,7.34,7.4,17.46,35.71,238.8,0.441,0,0.0154,2099.56286547511,2352.7,2006.39452054795
2006000003008,6,3,8,2006,-9.643,40.333,95.89,96.7,13.3,35.928,233.3,2.499,6.8976,0.3696,2133.24160302366,2354.6,2006.39452054795
2006000003006,7,3,6,2006,-9.643,40.333,195.71,197.4,12.897,35.857,230.4,2.9037,7.8835,0.4609,2135.07613758834,2350.2,2006.39452054795
2006000003003,8,3,3,2006,-9.643,40.333,413.92,417.7,11.713,35.791,193.4,5.882,13.551,0.7931,2169.64600705216,2354.1,2006.39452054795
2006000004013,9,4,13,2006,-9.764,40.334,6.74,6.8,17.442,35.857,238.3,0.6615,0,0.0286,2059.39020593267,2359.1,2006.39452054795
2006000004011,10,4,11,2006,-9.764,40.334,96.09,96.9,13.755,36.012,234.2,2.2785,6.4128,0.3289,2126.83911698218,2358.1,2006.39452054795
2006000004009,11,4,9,2006,-9.764,40.334,193.93,195.6,13.053,35.883,230.6,2.8675,8.1725,0.4147,2134.73201424208,2351,2006.39452054795
2006000004008,12,4,8,2006,-9.764,40.334,293.4,296,12.368,35.762,228.1,3.3085,9.5174,0.4939,2139.74911436282,2345.6,2006.39452054795
